ID,V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,v20,v21,v22,V23,V24,V25,v26,V27,v28
1,2,1,1,1,1,1,1,3,8,1,1,1,0,1,1,0.276737358,0.441726339,0.25308642,1,0.16016725,1,0,0,1,1,1,1,0,0.556030049
2,2,1,1,1,2,1,1,3,8,1,1,2,0,1,1,0.404503016,0.586791124,0.160493827,1,0.242000171,1,0,0,1,1,1,1,0,0.567909262
3,2,1,1,1,3,2,2,6,8,1,7,10,1,1,1,0.453371192,0.648342854,0.148148148,1,0.335352846,1,1,0,1,1,1,1,0,0.694832329
4,2,1,1,1,3,2,2,6,8,1,6,12,0.5,1,0.5,0.464911519,0.653386596,0.172839506,1,0.414028501,1,0,0,1,1,1,1,0,0.701315515
5,2,1,1,1,4,3,3,7,8,1,3,4,0,1,1,0.453371192,0.648342854,0.160493827,2,0.364280229,1,1,0,1,1,1,1,0,0.766154498
6,2,1,1,1,4,3,3,7,8,1,1,2,0.5,0.5,1,0.630804834,0.721650531,0.185185185,1,0.641778309,1,1,0,1,1,1,1,0,0.807092866
7,2,1,1,1,5,4,4,9,8,1,3,4,0.5,0.5,1,0.654242945,0.766860544,0.135802469,1,0.580766277,1,1,1,1,1,1,1,0,0.883869265
8,2,0,1,1,2,1,1,3,8,1,1,2,0,1,1,0.278519858,0.518546357,0.179012346,1,0.157265978,1,0,0,1,1,1,1,0,0.53034259
9,2,0,1,1,3,2,2,6,8,1,3,4,0.5,1,0.5,0.451457621,0.589263201,0.191358025,1,0.325113064,1,0,0,1,1,1,1,0,0.596001799
10,2,0,1,1,4,3,3,7,8,1,3,4,0.5,0.5,0.5,0.514668965,0.609252002,0.203703704,1,0.381687857,1,1,0,1,1,1,1,0,0.674838431
11,2,0,1,1,6,5,5,11,8,1,8,14,0.5,1,0.5,0.449923804,0.566442842,0.240740741,1,0.380578548,1,1,0,1,1,1,1,0,0.606584972
12,2,0,1,1,6,5,5,11,8,1,8,14,1,1,0.5,0.453371192,0.6473312,0.191358025,1,0.450038399,1,1,0,1,1,1,1,0,0.671595608
13,2,1,1,1,6,5,5,11,8,1,8,14,1,1,1,0.453371192,0.571401587,0.25308642,1,0.427340217,1,1,0,1,1,1,1,0,0.663148928
14,2,1,1,1,6,5,5,11,8,1,8,14,1,0.5,1,0.60850302,0.728427045,0.141975309,1,0.529396706,1,1,1,1,1,1,1,0,0.763102122
15,2,1,1,1,6,6,6,13,8,1,8,14,1,1,1,0.657579682,0.743063697,0.179012346,1,0.686492022,1,1,0,1,1,1,1,1,0.829423069
16,2,1,1,1,3,7,7,17,8,1,2,6,0.5,1,1,0.453371192,0.67338893,0.135802469,1,0.351821828,1,0,0,1,1,1,1,0,0.716652488
17,2,0,2,2,6,8,8,10,5,0,8,14,0.5,0,0,0.451616593,0.441726339,0.450617284,1,0.491082857,0,0,0,0,0,0,0,0,0.393680219
18,2,0,3,2,1,33,9,2,1,0,1,2,0,0,0.5,0.294920496,0.395848156,0.25308642,1,0.078163666,0,0,0,0,0,0,1,0,0.238262773
19,2,0,4,2,6,10,10,12,5,0,8,14,0.5,0.5,0.5,0.37416641,0.503511107,0.277777778,1,0.315897261,1,1,0,1,1,1,1,0,0.382975213
20,2,0,4,2,6,11,11,10,5,0,8,14,0.5,0,0.5,0.313551965,0.387633871,0.302469136,1,0.142247632,0,0,0,0,0,0,1,0,0.248397471
21,2,0,4,2,1,12,9,2,1,0,1,2,0,0,0,0.313551965,0.387633871,0.314814815,1,0.159484598,0,0,0,0,0,0,1,0,0.245589901
22,2,0,4,2,2,13,12,4,2,0,3,4,0,0,0.5,0.313551965,0.387633871,0.296296296,1,0.128082601,0,0,0,0,0,0,1,0,0.246830206
23,2,0,4,2,2,13,12,4,2,0,3,4,0,1,0,0.313551965,0.472011205,0.240740741,1,0.184486731,1,0,0,0,0,0,1,0,0.292822249
24,2,1,5,1,2,1,1,3,8,1,6,12,0,0,1,0.45611595,0.523665749,0.234567901,1,0.27468214,1,0,0,1,0,1,1,0,0.63760295
25,2,1,5,1,2,1,1,3,8,1,1,2,0,1,0.5,0.368810051,0.545221451,0.216049383,1,0.266916972,1,0,0,1,1,1,1,0,0.577405798
26,2,1,5,1,4,2,2,6,8,1,6,12,0,0.5,1,0.582517232,0.681120907,0.222222222,1,0.516170322,1,1,0,1,1,1,1,0,0.772161388
27,2,1,5,1,4,2,2,6,8,1,7,10,0,1,1,0.456613371,0.635286702,0.135802469,1,0.281764656,1,1,0,1,1,1,1,0,0.690814205
28,2,1,5,1,7,2,2,6,8,1,5,7,0,1,1,0.456613371,0.655884571,0.154320988,1,0.363426914,1,1,0,1,1,1,1,0,0.708153035
29,2,1,5,1,4,2,2,6,8,1,2,3,0.5,1,1,0.488551648,0.712337422,0.12962963,1,0.413516512,1,1,0,1,1,1,1,0,0.766743184
30,2,1,5,1,5,3,3,7,8,1,3,4,0.5,1,1,0.530618065,0.682488087,0.148148148,1,0.378018602,1,1,1,1,1,1,1,0,0.739429188
31,2,1,5,1,7,3,3,7,8,1,5,7,0.5,1,1,0.590108686,0.760722491,0.12345679,1,0.521290212,1,1,0,1,1,1,1,0,0.81248873
32,2,1,5,1,5,7,7,17,8,1,2,11,0.5,1,1,0.665492685,0.813160362,0.086419753,1,0.520522229,1,1,1,1,1,1,1,0,0.920639845
33,2,1,5,1,5,4,4,9,8,1,3,4,0.5,0.5,1,0.656939498,0.757783264,0.12962963,1,0.541343118,1,1,1,1,1,1,1,0,0.876373113
34,2,0,5,1,4,2,2,6,8,1,3,4,0,1,1,0.446168308,0.60514255,0.185185185,1,0.33671815,1,1,0,1,1,1,1,0,0.627192736
35,2,0,5,1,5,3,3,7,8,1,3,4,0,0.5,1,0.477284617,0.658360934,0.166666667,1,0.411041898,1,1,0,1,1,1,1,0,0.69112406
36,2,0,5,1,6,5,5,11,8,1,8,14,0.5,0.5,0.5,0.456200547,0.534543978,0.271604938,1,0.381005205,1,1,0,1,1,1,1,0,0.592317315
37,2,1,5,1,6,5,5,11,8,1,8,14,1,1,1,0.462038582,0.641844534,0.191358025,1,0.435702705,1,1,0,1,1,1,1,0,0.720671502
38,2,1,5,1,6,6,6,13,8,1,8,14,1,1,1,0.655154645,0.790739118,0.12962963,1,0.633501152,1,1,1,1,1,1,1,1,0.855371321
39,2,1,5,1,6,6,6,13,8,1,8,14,1,1,1,0.657933602,0.787006019,0.12345679,1,0.603976449,1,1,1,1,1,1,1,0,0.854465757
40,2,1,5,1,6,6,6,13,8,1,8,14,1,1,1,0.659671851,0.793292976,0.12962963,1,0.657223313,1,1,0,1,1,1,1,0,0.885134091
41,2,1,5,1,4,7,7,17,8,1,6,8,0,1,1,0.456613371,0.619796697,0.209876543,1,0.438433313,1,1,0,1,1,1,1,0,0.748669378
42,2,0,6,2,2,9,9,2,1,0,3,4,0,0,0.5,0.313883468,0.380299243,0.296296296,1,0.120829422,0,0,0,0,0,0,1,0,0.22208525
43,2,0,6,2,2,12,9,2,1,0,3,4,0,0,0.5,0.313883468,0.380299243,0.308641975,1,0.138151719,0,0,0,0,0,0,1,0,0.255033278
44,2,0,6,2,2,14,13,5,3,0,3,4,0,0.5,0.5,0.327865314,0.457450694,0.24691358,1,0.174502944,1,0,0,0,0,0,1,0,0.330100288
45,2,0,6,2,7,15,14,14,6,0,5,9,0,0,0.5,0.465200881,0.399372483,0.487654321,1,0.42921751,0,0,0,0,0,0,1,1,0.384718263
46,2,0,6,2,3,14,13,5,3,0,3,4,0,0,0.5,0.307119278,0.369025843,0.339506173,1,0.158289956,0,0,0,0,0,0,1,0,0.327273275
47,2,0,6,2,2,14,13,5,3,0,3,4,0,0,0.5,0.359585003,0.437692619,0.302469136,1,0.228517792,1,0,0,0,0,0,1,0,0.318480817
48,2,0,6,2,8,8,8,10,5,0,5,7,0.5,0.5,0.5,0.325302464,0.4593244,0.283950617,1,0.239525557,1,0,0,0,0,0,1,0,0.373048293
49,2,1,63,3,6,32,25,12,5,0,8,14,1,0,1,0.744161696,0.772455358,0.141975309,1,0.636487755,1,1,0,1,1,1,1,0,0.699485658
50,2,0,63,3,6,11,11,10,5,0,8,14,0.5,1,0.5,0.267363756,0.491864926,0.24691358,1,0.240720198,1,0,0,1,1,0,1,0,0.439307005
51,2,0,63,3,2,22,12,4,2,0,3,4,0,0.5,0.5,0.349756629,0.446972797,0.302469136,1,0.243280143,1,0,0,0,1,0,1,0,0.410007237
52,2,0,63,3,2,21,12,4,2,0,3,4,0,0,0.5,0.309556567,0.408827598,0.327160494,1,0.212987456,1,0,0,0,0,0,1,0,0.325441432
